STATION,LINE,YEAR,SURVEY_DATE_USED,WHETHER_SURVEYED,IN_0200_0600,OUT_0200_0600,IN_0600_0930,OUT_0600_0930,IN_0930_1500,OUT_0930_1500,IN_1500_1830,OUT_1500_1830,IN_1830_0200,OUT_1830_0200,IN_24_HOURS,OUT_24_HOURS,RANK,STATION_SORT_ID
Kingsgrove,East Hills,2014,18/06/2013,No,20,20,1290,880,690,470,790,1210,160,360,2950,2950,85,504
Quakers Hill,Western,2014,13/06/2013,No,60,0,2080,280,410,440,340,1660,60,570,2950,2950,85,913
International Airport,Airport,2014,Mar-14,Yes,0,100,700,1170,1130,950,630,480,490,250,2950,2950,85,404
Minto,East Hills,2014,25/06/2013,No,50,20,1700,420,470,400,540,1560,110,470,2870,2870,88,516
Guildford,South,2014,20/08/2013,No,50,30,1520,300,670,650,450,1370,130,480,2820,2820,89,704
Jannali,Illawarra,2014,26/06/2013,No,30,30,1940,180,500,380,310,1590,40,630,2820,2820,89,315
Belmore,Bankstown,2014,5/03/2013,No,40,20,1460,310,650,680,580,1570,60,220,2790,2790,91,608
Rooty Hill,Western,2014,26/03/2013,No,50,20,1840,190,550,460,260,1550,60,540,2760,2760,92,923
Beverly Hills,East Hills,2014,8/05/2014,Yes,60,10,1770,400,380,400,360,1240,90,610,2660,2660,93,505
Macarthur,East Hills,2014,4/06/2014,Yes,50,20,1110,390,700,750,650,1120,150,370,2660,2660,93,519
Cronulla,Illawarra,2014,13/06/2013,No,40,20,1370,360,700,680,440,1150,100,430,2650,2650,95,322
Roseville,North Shore,2014,19/08/2014,Yes,20,20,1740,320,370,450,420,1370,60,440,2610,2610,96,1408
North Strathfield,Northern via Strathfield,2014,1/05/2014,Yes,20,20,1560,480,340,400,570,1070,110,610,2600,2600,97,1201
Waverton,North Shore,2014,20/08/2014,Yes,20,20,1760,160,460,410,250,1390,50,550,2540,2540,98,1403
Wollstonecraft,North Shore,2014,20/08/2014,Yes,20,20,1760,160,460,410,250,1390,50,550,2540,2540,98,1404
Leumeah,East Hills,2014,27/06/2013,No,50,20,1600,130,530,320,240,1510,50,490,2470,2470,100,517
Concord West,Northern via Strathfield,2014,19/03/2013,No,20,20,1280,460,420,330,590,1220,150,420,2460,2460,101,1202
Toongabbie,Western,2014,20/11/2012,No,50,20,1500,240,480,430,340,1290,80,460,2450,2450,102,909
Canley Vale,South,2014,11/06/2014,Yes,40,20,1370,190,650,490,320,1260,50,460,2430,2430,103,707
Thornleigh,Northern via Macquarie Park,2014,27/03/2013,No,50,20,1560,180,480,300,260,1400,70,500,2420,2420,104,1307
Wahroonga,North Shore,2014,21/08/2014,Yes,30,20,1220,600,290,370,800,1060,70,380,2410,2410,105,1415
Dulwich Hill,Bankstown,2014,8/05/2014,Yes,20,20,1330,420,450,500,530,1050,70,420,2400,2400,106,604
Croydon,Inner West,2014,4/09/2012,No,20,20,1400,450,390,490,470,970,100,440,2380,2380,107,1108
Warwick Farm,South,2014,13/06/2012,No,40,20,1440,240,500,400,320,1270,80,460,2380,2380,107,709
Wollongong,South Coast,2014,28/10/2014,Yes,150,10,730,630,660,690,640,600,200,460,2380,2380,107,1517
Doonside,Western,2014,6/06/2013,No,40,20,1680,170,390,380,220,1260,40,530,2370,2370,110,922
Carlton,Illawarra,2014,3/06/2014,Yes,40,20,1590,170,460,440,210,1180,50,530,2350,2350,111,308
