STATION,LINE,YEAR,SURVEY_DATE_USED,WHETHER_SURVEYED,IN_0200_0600,OUT_0200_0600,IN_0600_0930,OUT_0600_0930,IN_0930_1500,OUT_0930_1500,IN_1500_1830,OUT_1500_1830,IN_1830_0200,OUT_1830_0200,IN_24_HOURS,OUT_24_HOURS,RANK,STATION_SORT_ID
Sandgate,Hunter,2014,3/06/2009,No,0,0,20,40,10,10,30,10,0,0,60,60,261,2003
Coledale,South Coast,2014,19/08/2014,Yes,10,0,40,10,0,0,0,30,0,10,50,50,263,1507
Dungog,Hunter,2014,3/06/2009,No,0,0,20,0,10,20,20,20,0,10,50,50,263,2020
Hexham,Hunter,2014,3/06/2009,No,0,0,20,20,10,10,20,10,0,10,50,50,263,2004
Kotara,Newcastle,2014,22/08/2013,No,0,0,30,10,10,10,10,20,0,10,50,50,263,1911
Muswellbrook,Hunter,2014,3/06/2009,No,0,0,20,0,20,20,0,20,10,0,50,50,263,2027
Teralba,Newcastle,2014,4/12/2012,No,0,10,30,10,10,10,10,30,0,10,50,50,263,1908
Douglas Park,Southern Highlands,2014,19/06/2014,Yes,10,0,20,0,10,0,0,20,0,20,40,40,269,1603
Singleton,Hunter,2014,3/06/2009,No,0,0,20,20,10,0,10,30,0,10,40,40,269,2026
Awaba,Newcastle,2014,22/10/2014,Yes,0,0,30,0,0,10,0,20,0,10,30,30,271,1905
Bundanoon,Southern Highlands,2014,19/06/2014,Yes,10,0,20,0,0,0,0,10,0,10,30,30,271,1613
Cockle Creek,Newcastle,2014,28/11/2012,No,0,0,20,10,0,10,10,10,0,10,30,30,271,1909
Medlow Bath,Blue Mountains,2014,21/08/2014,Yes,0,0,20,0,10,10,0,20,0,10,30,30,271,1716
Wombarra,South Coast,2014,20/08/2013,No,0,0,20,0,10,10,0,30,0,10,30,30,271,1506
Yerrinbool,Southern Highlands,2014,17/06/2014,Yes,10,0,10,0,10,0,0,10,0,10,30,30,271,1607
Cringila,South Coast,2014,8/10/2014,Yes,0,0,0,20,10,10,10,10,0,0,20,20,277,1520
Martins Creek,Hunter,2014,3/06/2009,No,0,0,10,0,0,0,10,10,0,0,20,20,277,2016
Menangle Park,Southern Highlands,2014,19/06/2014,Yes,0,0,10,0,10,10,0,10,0,0,20,20,277,1601
Port Kembla North,South Coast,2014,18/09/2014,Yes,0,0,0,10,10,0,10,10,0,0,20,20,277,1521
Scone,Hunter,2014,3/06/2009,No,10,0,0,0,0,0,0,10,10,10,20,20,277,2029
Tarro,Hunter,2014,3/06/2009,No,0,0,10,0,10,0,0,10,0,0,20,20,277,2005
Aberdeen,Hunter,2014,3/06/2009,No,0,0,0,0,0,0,0,0,0,0,10,10,283,2028
Bombo,South Coast,2014,18/09/2014,Yes,0,0,10,0,0,0,0,10,0,0,10,10,283,1530
Branxton,Hunter,2014,3/06/2009,No,0,0,0,0,0,0,0,0,0,0,10,10,283,2024
Burradoo,Southern Highlands,2014,25/05/2010,No,0,0,0,0,0,0,0,0,0,0,10,10,283,1610
Coalcliff,South Coast,2014,9/08/2012,No,0,0,10,0,0,0,0,10,0,0,10,10,283,1504
Dunmore (Shellharbour),South Coast,2014,18/06/2014,Yes,0,0,10,0,0,10,0,10,0,0,10,10,283,1528
Exeter,Southern Highlands,2014,25/05/2010,No,0,0,10,0,0,0,0,10,0,0,10,10,283,1612
Greta,Hunter,2014,3/06/2009,No,0,0,0,0,0,0,0,10,0,0,10,10,283,2023
Linden,Blue Mountains,2014,19/08/2014,Yes,0,0,10,0,0,10,0,10,0,0,10,10,283,1708
Marulan,Southern Highlands,2014,17/06/2014,Yes,0,0,0,0,0,0,0,0,10,10,10,10,283,1617
Menangle,Southern Highlands,2014,17/06/2014,Yes,0,0,10,0,0,0,0,10,0,0,10,10,283,1602
Paterson,Hunter,2014,3/06/2009,No,0,0,10,0,0,0,0,10,0,0,10,10,283,2015
Scarborough,South Coast,2014,22/08/2013,No,0,0,10,0,0,0,0,10,0,0,10,10,283,1505
Tallong,Southern Highlands,2014,25/05/2010,No,0,0,10,0,0,0,0,0,0,10,10,10,283,1616
Wondabyne,Central Coast,2014,21/11/2012,No,0,0,0,0,0,0,0,0,0,0,10,10,283,1803
Bell,Blue Mountains,2014,0,No,0,0,0,0,0,0,0,0,0,0,0,0,298,1719
Hilldale,Hunter,2014,3/06/2009,No,0,0,0,0,0,0,0,0,0,0,0,0,298,2017
Kembla Grange Racecourse,South Coast,2014,15/02/1996,No,0,0,0,0,0,0,0,0,0,0,0,0,298,1524
Lochinvar,Hunter,2014,3/06/2009,No,0,0,0,0,0,0,0,0,0,0,0,0,298,2021
Lysaghts,South Coast,2014,12/11/2013,No,0,0,0,0,0,0,0,0,0,0,0,0,298,1519
Mindaribba,Hunter,2014,3/06/2009,No,0,0,0,0,0,0,0,0,0,0,0,0,298,2014
Penrose,Southern Highlands,2014,25/05/2010,No,0,0,0,0,0,0,0,0,0,0,0,0,298,1614
Wallarobba,Hunter,2014,3/06/2009,No,0,0,0,0,0,0,0,0,0,0,0,0,298,2018
Wingello,Southern Highlands,2014,25/05/2010,No,0,0,0,0,0,0,0,0,0,0,0,0,298,1615
Wirragulla,Hunter,2014,3/06/2009,No,0,0,0,0,0,0,0,0,0,0,0,0,298,2019
Zig Zag,Blue Mountains,2014,9/10/2014,Yes,0,0,0,0,0,0,0,0,0,0,0,0,298,1720
